cod_uf,nome_uf,cod_mesorregiao,nome_mesorregiao,cod_microrregiao,nome_microrregiao,numero_municipio,cod_municipio,nome_municipio
21,Maranhão,4,Leste Maranhense,15,Codó,12100,2112100,Timbiras
21,Maranhão,4,Leste Maranhense,17,Caxias,12209,2112209,Timon
21,Maranhão,3,Centro Maranhense,10,Médio Mearim,12233,2112233,Trizidela do Vale
21,Maranhão,2,Oeste Maranhense,8,Pindaré,12274,2112274,Tufilândia
21,Maranhão,3,Centro Maranhense,11,Alto Mearim e Grajaú,12308,2112308,Tuntum
21,Maranhão,2,Oeste Maranhense,7,Gurupi,12407,2112407,Turiaçu
21,Maranhão,2,Oeste Maranhense,7,Gurupi,12456,2112456,Turilândia
21,Maranhão,1,Norte Maranhense,4,Lençóis Maranhenses,12506,2112506,Tutóia
21,Maranhão,4,Leste Maranhense,14,Chapadinha,12605,2112605,Urbano Santos
21,Maranhão,1,Norte Maranhense,6,Itapecuru Mirim,12704,2112704,Vargem Grande
21,Maranhão,1,Norte Maranhense,5,Baixada Maranhense,12803,2112803,Viana
21,Maranhão,2,Oeste Maranhense,9,Imperatriz,12852,2112852,Vila Nova dos Martírios
21,Maranhão,1,Norte Maranhense,5,Baixada Maranhense,12902,2112902,Vitória do Mearim
21,Maranhão,2,Oeste Maranhense,8,Pindaré,13009,2113009,Vitorino Freire
21,Maranhão,2,Oeste Maranhense,8,Pindaré,14007,2114007,Zé Doca
